,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
0,27,68000,Rent,4.0,Homeimprovement,A,8700,7.88,0,0,5
1,24,12600,Rent,2.0,Venture,C,2500,13.11,1,1,2
2,30,100000,Rent,13.0,Debtconsolidation,A,12000,7.88,0,0,9
4,30,110400,Rent,1.0,Venture,D,14000,16.89,1,0,6
5,31,26988,Rent,0.0,Venture,A,5800,6.62,0,0,9
6,24,117996,Mortgage,6.0,Venture,E,18000,17.04,0,1,3
8,21,21600,Rent,0.0,Debtconsolidation,A,6700,6.92,1,0,4
9,21,26400,Rent,0.0,Personal,D,7000,14.84,1,1,3
10,25,39000,Rent,9.0,Venture,D,15200,16.0,1,0,3
11,23,54000,Mortgage,2.0,Venture,A,7000,6.62,0,0,3
12,35,52000,Rent,2.0,Medical,B,3000,11.48,0,0,7
14,26,90000,Mortgage,10.0,Personal,B,13000,10.59,0,0,3
15,22,66300,Rent,3.0,Medical,D,7500,14.96,1,0,2
16,26,65000,Mortgage,11.0,Venture,A,12000,7.9,0,0,2
17,26,120000,Mortgage,10.0,Homeimprovement,D,10000,14.59,0,1,2
18,28,81972,Rent,4.0,Debtconsolidation,B,18000,10.99,0,0,6
19,25,76700,Mortgage,1.0,Venture,E,14800,19.42,0,1,4
20,26,105000,Mortgage,6.0,Debtconsolidation,B,12000,11.99,0,0,2
22,24,35364,Rent,1.0,Medical,B,20000,12.53,1,0,4
23,23,80000,Rent,6.0,Venture,A,6500,7.51,0,0,3
24,26,38340,Mortgage,7.0,Personal,B,2500,12.18,1,0,4
25,23,60000,Own,2.0,Medical,D,18500,15.33,0,0,2
26,27,87360,Mortgage,0.0,Homeimprovement,B,7000,10.36,0,0,6
27,22,50000,Own,3.0,Education,A,5000,7.29,0,0,4
28,25,50000,Rent,3.0,Personal,D,4000,14.61,0,1,4
29,31,45000,Mortgage,16.0,Venture,B,6000,10.99,0,0,10
30,32,62000,Mortgage,3.0,Education,B,20000,11.36,0,0,9
31,22,36000,Own,6.0,Education,B,14500,10.99,0,0,3
32,55,54000,Rent,4.0,Debtconsolidation,C,1000,13.99,1,0,27
33,22,24000,Rent,0.0,Debtconsolidation,C,5200,13.49,0,1,2
34,21,45176,Rent,1.0,Medical,B,12000,11.49,0,0,3
35,32,86400,Mortgage,16.0,Medical,A,8000,6.03,0,0,10
37,23,84000,Rent,1.0,Venture,A,10000,7.49,0,0,4
38,31,60000,Mortgage,5.0,Medical,A,7200,6.03,0,0,8
39,23,45000,Rent,4.0,Education,A,9000,5.99,0,0,3
40,22,26000,Own,2.0,Education,A,7100,7.49,0,0,2
41,25,87000,Rent,6.0,Debtconsolidation,A,13000,7.29,0,0,2
42,34,91000,Rent,11.0,Medical,B,25000,11.36,0,0,5
43,27,125000,Mortgage,1.0,Homeimprovement,A,24000,6.91,0,0,8
44,22,41000,Rent,2.0,Debtconsolidation,D,3600,16.77,1,1,3
45,23,32388,Mortgage,0.0,Education,B,6000,10.71,0,0,4
46,29,45324,Mortgage,4.0,Personal,D,15150,14.54,0,0,10
47,36,37008,Rent,8.0,Venture,C,6000,14.79,0,1,14
48,44,82000,Mortgage,5.0,Debtconsolidation,C,8400,12.84,1,1,17
49,23,79996,Mortgage,2.0,Education,E,24000,16.32,0,1,3
50,28,39000,Rent,3.0,Venture,B,5000,10.25,0,0,10
51,22,45000,Mortgage,6.0,Venture,A,7000,8.94,0,0,3
52,21,27996,Mortgage,5.0,Education,A,10000,9.63,0,0,4
53,26,36000,Rent,5.0,Medical,B,8550,10.25,1,0,2
54,26,50000,Rent,2.0,Venture,A,7000,9.63,0,0,2
55,22,80000,Rent,1.0,Education,B,18000,10.99,0,0,4
56,35,50000,Mortgage,5.0,Homeimprovement,C,6000,13.49,0,0,6
57,22,12600,Rent,2.0,Personal,B,4000,10.37,1,0,4
58,22,48000,Mortgage,6.0,Debtconsolidation,A,4400,5.99,0,0,3
59,26,85000,Mortgage,8.0,Medical,A,15000,7.88,0,0,4
60,25,45000,Mortgage,7.0,Education,A,7500,8.0,0,0,3
61,23,30000,Rent,0.0,Personal,B,1925,12.18,0,0,2
62,28,43200,Rent,1.0,Medical,A,3000,7.49,0,0,9
64,33,97000,Mortgage,15.0,Personal,A,20000,6.17,0,0,8
65,26,60000,Mortgage,8.0,Homeimprovement,B,12000,10.65,0,0,2
68,28,22000,Own,5.0,Education,A,8000,6.99,0,0,5
69,22,45000,Rent,3.0,Venture,B,5000,12.42,0,0,2
70,26,65219,Rent,11.0,Debtconsolidation,D,21000,14.09,1,0,3
